sku,product key
MB1,magnetic-wallpaper-200-58
MB2,magnetic-wallpaper-100-60
MB3,magnetic-wallpaper-260-60
MB4,magnetic-board-montagne
MBA1,magnetic-set-pastel
MBA2,magnetic-set-fraise
MBA3,woody-stabilo-pencil-set-3
MBA4,magnet-set-matin-et-soir
MT1,activity-toy-speculos-the-tiger
MT2,activity-toy-muchachos-the-llama
MT3,musical-play-mat-tapis-deveil
ST1,activity-cube-melimelos-la-biche
ST2,activity-toy-jelekros-lion
ST3,toy-octopus
ST4,mousse-handkerchief-comforter
ST5,toy-original-pomelos -lautruche
ST6,plush-toy-mouni-les-schmouks
ST7,plush-toy-pidou-les-schmouks
ST8,plush-toy-choukette-les-schmouks
ST9,activity-cube-speculos-le-tigre
ST10,activity-cube-chillos-le-paresseux
WT1,caravan-la-grande-famille
WT2,tree-house-la-grande-famille
WT3,сar-la-grande-famille
WT4,ice-cream-delivery-tricycle-la-grande-famille
ET1,star-stacker-shell
ET2,la-boite-a-formes
ET3,diy-suitcase-la-grande-famille
ET4,storybook-torch-set-il-etait-une-fois
ET5,storybook-torch-set-jungle
ET6,storybook-torch-set-la-famille-souris-ecole-des-loisirs
MUT1,piano-le-voyage-dolga
MUT2,guitar-le-voyage-dolga
MUT3,music-box-le-petit-prince
MUT4,music-box-peter-rabbit
MUT5,coeur-peter-rabbit
MUT6,meditation-friend-morphee
TD1,suitcase-blanches-wardrobe
TD2,suitcase-tea-set-les-rosalies
TD3,the-hibiscus-stroller
TD4,the-perroquets-stroller
TB1,small-balloon-the-jaguars
TB2,small-balloon-the-parrots
TB3,savannah-small-ball
BG1,marble-runs-classic
BG2,marble-runs-the-giant
BG3,marble-runs-the-small
BG4,dou-dou-animal-stamps
BG5,4-seasons-mini-puzzles-la-grande-famille
BG6,cubes
BG7,magnetic-game-shapes-les-popipop
CG1,26-cards-alphabet
CG2,memory
EG1,animals-of-the-savannah
EG2,relief-portraits-pets
EG3,relief-portraits-animals-of-the-savannah
EG4,douceur-des-bois
EG5,cards-to-create-glittering-fairies
EG6,3d-decorative-animals-fantastic-diamonds
GR1,33052-deluxe-railway-set
GR2,33097-cargo-railway-deluxe-set
GR3,33887-lift-load-warehouse-set
GR4,33766-railway-world-deluxe-set
GR5,33513-metro-railway-set
GR6,33028-classic-figure-8-set
GR7,rescue-firefighter-set
GR8,33061-cargo-harbor-set
BHC1,rue-de-la-peur
BHC2,kitty-kitty
BHC3,labyrinths
BHC4,miammiam
BHC5,magic-brush-dans-la-jungle
BS1,activity-book-1-3-years
BS2,activity-book-3-6-years
SCB1,kawaii-paint-box
SCB2,dinos-paint-box
SCB3,dino-pocket-games
SCB4,coloring-magnet-set-dans-lespace
SCB5,coloring-magnet-set-dans-la-foret
SCB6,coloring-table-latelier-des-artistes
SCB7,coloring-table-la-foret
SPM1,magical-pens-set
SPM2,colored-pencils-set
SPM3,ultrawashable-jumbo-felt-pens-set
SPM4,glitter-markers-set
SP1,stickers-poster-football
SP2,stickers-poster-animaux-du-monde
SP3,eu-giant-poster-100-stickers-atlas
SP4,eu-giant-poster-100-stickers-paris
SP5,stickers-poster-the-house
SP6,memory-poster-affiches
SS1,reflective-sticker-peps
SS2,reflective-sticker-little-monsters
SS3,reflective-sticker-tree-frog
SS4,reflective-sticker-super-meow
VB1,balance-bike-with-helmet
VB2,bike-seat-rain-cape
VB3,baby-helmet-bubblegum
VB4,baby-helmet-mint
VC1,rider-snow-white
VC2,roadster-camel
VC3,rider-peugeot
VC4,fire-truck-pedal-car
VC5,rider-tender-green